Id,name,company,location,position,type,or
UnNaCu,UniversidadNacionalDeCuyo,,Mendoza,,education,
UnOh,OhioUniversity,,Ohio,,education,
UnOl,UniversitaetOldenburg,,Oldenburg,,education,
UnOs,UniversitaetOsnabrueck,,Osnabrueck,,education,
UnOx,UniversityofOxford,,Oxford,,education,
UnPaCi,UniversiteParisCite,,Paris,,education,
UnPo,UniversitaetPotsdam,,Potsdam,,education,
UnPoFa,UniversitatPompeuFabra,,Barcelona,,education,
UnPro,UniversitedeProvence,,Marseille,,education,
UnRe,UniversitaetRegensburg,,Regensburg,,education,
UnSe,UniversidadDeSevilla,,Sevilla,,education,
UnSoNo,UniversiteSorbonneNouvelle,,Paris,,education,
UnStGa,UniversityofStGallen,,Schweiz,,education,
UnWi,UniversitaetWien,,Wien,,education,
UnWiHe,UniversitaetWitten/Herdecke,,Witten,,education,
UtUn,UtrechtUniversity,,Utrecht,,education,
UWCAt,UWCAtlanticCollege,,LlantwitMajor,,education,
